,0
0,167
1,210
2,123
3,119
4,84
5,122
6,172
7,185
8,207
9,175
10,112
11,180
12,103
13,164
14,178
15,114
16,160
17,171
18,130
19,121
20,120
21,172
22,101
23,118
24,100
25,120
26,88
27,167
28,83
29,109
30,112
31,93
32,112
33,107
34,127
35,87
36,102
37,113
38,91
39,87
40,97
41,122
42,87
43,92
44,106
45,124
46,127
47,170
48,112
49,100
50,130
51,98
52,113
53,109
54,100
55,71
56,113
57,75
58,199
59,99
60,102
61,110
62,87
63,199
64,101
65,90
66,160
67,99
68,132
69,113
70,121
71,155
72,117
73,177
74,117
75,187
76,111
77,114
78,133
79,126
80,107
81,123
82,139
83,120
84,119
85,158
86,123
87,146
88,123
89,161
90,87
91,191
92,121
93,128
94,146
95,108
96,112
97,95
98,97
99,127
100,127
101,113
102,123
103,103
104,104
105,145
106,123
107,133
108,111
109,97
110,96
111,82
112,100
113,84
114,187
115,90
116,103
117,76
118,117
119,110
120,98
121,83
122,168
123,111
124,113
125,108
126,100
127,113
128,107
129,110
130,90
131,113
132,113
133,124
134,101
135,99
136,90
137,124
138,95
139,90
140,109
141,93
142,84
143,187
144,101
145,104
146,111
147,187
148,90
149,164
150,171
151,167
152,93
153,127
154,171
155,104
156,86
157,82
158,137
159,127
160,97
161,153
162,99
163,167
164,116
165,127
166,124
167,112
168,170
169,126
170,119
171,126
172,187
173,112
174,112
175,178
176,112
177,82
178,124
179,167
180,116
181,124
182,120
183,167
184,116
185,111
186,116
187,114
188,87
189,110
190,96
191,97
192,130
193,123
194,124
195,146
196,111
197,82
198,104
199,187
200,82
201,93
202,127
203,83
204,90
205,187
206,161
207,186
208,182
209,160
210,182
211,165
212,167
213,172
214,183
215,169
216,189
217,127
218,127
219,99
220,104
221,99
222,99
223,97
224,118
225,103
226,138
227,127
228,127
229,123
230,113
231,112
232,197
233,89
234,123
235,122
236,91
237,135
238,112
239,90
240,121
241,112
242,112
243,108
244,112
245,112
246,150
247,190
248,124
249,111
250,104
251,114
252,107
253,118
254,93
255,112
256,107
257,114
258,99
259,87
260,99
261,103
262,105
263,106
264,103
265,115
266,133
267,103
268,109
269,87
270,97
271,113
272,89
273,112
274,109
275,112
276,112
277,112
278,112
279,111
280,112
281,112
282,103
283,112
284,88
285,112
286,112
287,96
288,111
289,112
290,112
291,112
292,112
293,98
294,186
295,126
296,121
297,107
298,135
299,121
300,177
301,112
302,124
303,101
304,119
305,123
306,112
307,112
308,112
309,113
310,123
311,107
312,111
313,112
314,111
315,141
316,127
317,118
318,130
319,114
320,132
321,122
322,117
323,146
324,119
325,112
326,118
327,96
328,93
329,128
330,99
331,81
332,117
333,180
334,181
335,83
336,124
337,113
338,118
339,120
340,99
341,121
342,143
343,99
344,99
345,98
346,122
347,112
348,202
349,129
350,112
351,100
352,112
353,100
354,91
355,116
356,180
357,184
358,119
359,159
360,120
361,161
362,105
363,121
364,135
365,101
366,120
367,99
368,110
369,91
370,105
371,117
372,99
373,111
374,119
375,138
376,187
377,123
378,124
379,99
380,112
381,112
382,117
383,98
384,107
385,128
386,112
387,112
388,112
389,118
390,98
391,92
392,111
393,126
394,112
395,105
396,94
397,100
398,79
399,98
400,138
401,130
402,112
403,125
404,108
405,89
406,138
407,109
408,109
409,105
410,89
411,112
412,111
413,112
414,94
415,95
416,107
417,138
418,98
419,93
420,102
421,128
422,167
423,121
424,126
425,125
426,181
427,139
428,95
429,93
430,111
431,187
432,110
433,84
434,107
435,83
436,100
437,121
438,96
439,75
440,97
441,101
442,140
443,135
444,167
445,110
446,110
