,0,1
0,33718,
1,34354,
2,34381,
3,34420,
4,34421,
5,34422,
6,34442,
7,34444,
8,34459,
9,34477,
10,34491,
11,34499,
12,34506,
13,34524,
14,34528,
15,34536,
16,34556,
17,34600,
18,34601,
19,34638,
20,34639,
21,34669,
22,34705,
23,34808,
24,34837,
25,34942,
26,35129,
27,35219,
28,35266,
29,35272,
30,35437,
31,35564,
32,35625,
33,35626,
34,36183,
35,36195,
36,36381,
37,36382,
38,36409,
39,36411,
40,36485,
41,36486,
42,36548,
43,36550,
44,36597,
45,36670,
46,36673,
47,36775,
48,36928,
49,36929,
50,36969,
51,37026,
52,37027,
53,37121,
54,37206,
55,37207,
56,37405,
57,37406,
58,37422,
59,37581,
60,37583,
61,37590,
62,37722,
63,37724,
64,37725,
65,37846,
66,37847,
67,37848,
68,37865,
69,37988,
70,38128,
71,38129,
72,38130,
73,38131,
74,38245,
75,38355,
76,38539,
77,38550,
78,38576,
79,38577,
80,38740,
81,38744,
82,38873,
83,38875,
84,39024,
85,39025,
86,39026,
87,39163,
88,39164,
89,39165,
90,39166,
91,39305,
92,39309,
93,39490,
94,39491,
95,39492,
96,39493,
97,39494,
98,39498,
99,39610,
100,39727,
101,39728,
102,39730,
103,39731,
104,39732,
105,39867,
106,39956,
107,40056,
108,40596,
109,40852,
110,40854,
111,40973,
112,41152,
113,41153,
114,41156,
115,41403,
116,41404,
117,41405,
118,41406,
119,42100,
120,42104,
121,42720,
122,42849,
123,43041,
124,43778,
125,43785,
126,44045,
127,44511,
128,44822,
129,44823,
130,45512,
131,45514,
132,45515,
133,45518,
134,46056,
135,46251,
136,46691,
137,46814,
138,46815,
139,46982,
140,47158,
141,47271,
142,47294,
143,47440,
144,47692,
145,47693,
146,48107,
147,48118,
148,48229,
149,48664,
150,49177,
151,49183,
152,49330,
153,49825,
154,50200,
155,51359,
156,51490,
157,52111,
158,52353,
159,52356,
160,52367,
161,52797,
162,52800,
163,53863,
164,56822,
165,57864,
166,57865,
167,58002,
168,58005,
169,58025,
170,58908,
171,59901,
172,60393,
173,60817,
174,60954,
175,60961,
176,61313,
177,61460,
178,61766,
179,61770,
180,62045,
181,62147,
182,62284,
183,62429,
184,62836,
185,62967,
186,62968,
187,63072,
188,63347,
189,64269,
190,66085,
191,66087,
