,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
0,33718,180183996,THY_RJAALTBA01,AA34912499,THY53,THY,FSC,RJAA,LTBA,4863,I,2014-09-11 13:30:00,2014-09-12 02:00:00,A333,231,H,TCJOC,231,217,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN001
1,33719,180184004,THY_RJBBLTBA01,AA34913362,THY47,THY,FSC,RJBB,LTBA,4735,I,2014-09-11 13:30:00,2014-09-12 02:35:00,A332,230,H,TCJND,224,210,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN002
2,33723,180186174,THY_ZSPDLTBA01,AA34914028,THY27,THY,FSC,ZSPD,LTBA,4340,I,2014-09-11 14:45:00,2014-09-12 02:25:00,B77W,345,H,TCJJP,252,242,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN003
3,33725,180186332,THY_RKSILTBA01,AA34914839,THY91,THY,FSC,RKSI,LTBA,4290,I,2014-09-11 14:50:00,2014-09-12 02:45:00,A333,231,H,TCJNJ,231,237,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN004
4,33731,180186716,THY_ZGGGLTBA01,AA34914437,THY73,THY,FSC,ZGGG,LTBA,4274,I,2014-09-11 15:00:00,2014-09-12 02:40:00,A343,269,H,TCJDK,220,209,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN005
5,33741,180187152,THY_WMKKLTBA01,AA34914670,THY61,THY,FSC,WMKK,LTBA,4501,I,2014-09-11 15:15:00,2014-09-12 02:35:00,A333,231,H,TCJOD,231,237,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN006
6,33750,180187437,THY_VHHHLTBA01,AA34917062,THY71,THY,FSC,VHHH,LTBA,4342,I,2014-09-11 15:25:00,2014-09-12 02:45:00,B77W,345,H,TCJJO,252,215,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN007
7,33761,180188239,THY_WSSSLTBA01,AA34916361,THY67,THY,FSC,WSSS,LTBA,4680,I,2014-09-11 15:50:00,2014-09-12 03:10:00,A333,231,H,TCJNM,231,218,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN008
8,33781,180188912,THY_ZBAALTBA01,AA34917190,THY21,THY,FSC,ZBAA,LTBA,3824,I,2014-09-11 16:10:00,2014-09-12 02:25:00,B77W,345,H,TCJJJ,252,224,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN009
9,33796,180189559,THY_VTBSLTBA01,AA34917543,THY69,THY,FSC,VTBS,LTBA,4058,I,2014-09-11 16:30:00,2014-09-12 02:35:00,B77W,345,H,VTJEP,252,238,arr,0,,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN010
