,0,1,2
0,RJAA,LTBA,
1,LTBA,OMDB,
2,LTBA,UBBB,
3,LTBA,OJAI,
4,LTBA,OJAQ,
5,LTBA,OTHH,
6,LTBA,ZGGG,
7,LTBA,WSSS,
8,LTBA,VTBS,
9,LTBA,RKSI,
10,LTBA,UCFM,
11,LTBA,RJBB,
12,LTBA,OEGS,
13,LTBA,FAOR,
14,LTBA,OEJN,
15,LTBA,LLBG,
16,LTBA,RJAA,
17,LTBA,VRMM,
18,LTBA,OKBK,
19,LTBA,OIIE,
20,LTBA,OERK,
21,LTBA,WMKK,
22,LTBA,LTAJ,
23,LTBA,HEGN,
24,LTBA,OLBA,
25,LTBA,UTAA,
26,LTBA,OEYN,
27,LTBA,OAKB,
28,LTBA,UBBG,
29,LTBA,ORNI,
30,LTBA,ORBI,
31,LTBA,EDDF,
32,LTBA,ORMM,
33,LTBA,LTCG,
34,LTBA,LTFH,
35,LTBA,LTCJ,
36,LTBA,LTAC,
37,LTBA,LTAF,
38,LTBA,LTAN,
39,LTBA,LTFE,
40,LTBA,LTAI,
41,LTBA,LTAT,
42,LTBA,LTBS,
43,LTBA,LTAY,
44,LTBA,LTCA,
45,LTBA,HECA,
46,LTBA,LTCI,
47,LTBA,LTAU,
48,LTBA,EGKK,
49,LTBA,LTBJ,
50,LTBA,LTAR,
51,LTBA,UGTB,
52,LTBA,LQSA,
53,LTBA,LTAZ,
54,LTBA,LTCC,
55,LTBA,LTCE,
56,LTBA,LYBE,
57,LTBA,LHBP,
58,LTBA,KJFK,
59,LTBA,LBSF,
60,LTBA,LATI,
61,LTBA,EIDW,
62,LTBA,BKPR,
63,LTBA,LFPG,
64,LTBA,EDDK,
65,LTBA,LWSK,
66,LTBA,LGAV,
67,LTBA,LUKK,
68,LTBA,UKOO,
69,LTBA,EDDM,
70,LTBA,LROP,
71,LTBA,LEMD,
72,LTBA,EDDV,
73,LTBA,EBBR,
74,LTBA,UKBB,
75,LTBA,VHHH,
76,LTBA,LICC,
77,LTBA,LGTS,
78,LTBA,LIMC,
79,LTBA,EGCC,
80,LTBA,LOWW,
81,LTBA,EGBB,
82,LTBA,LIPZ,
83,LTBA,LSGG,
84,LTBA,ESSA,
85,LTBA,EKCH,
86,LTBA,LIRF,
87,LTBA,EHAM,
88,LTBA,EDDS,
89,LTBA,EDDL,
90,LTBA,EGPH,
91,LTBA,EGLL,
92,LTBA,EDDT,
93,LTBA,UUWW,
94,LTBA,DAAG,
95,LTBA,LSZH,
96,LTBA,EDDH,
97,LTBA,LFMN,
98,LTBA,DTTA,
99,LTBA,ENGM,
100,LTBA,EDDN,
101,LTBA,LIPE,
102,LTBA,LEBL,
103,LTBA,LEBB,
104,LTBA,EFHK,
105,LTBA,LFLL,
106,LTBA,ESGG,
107,LTBA,LDZA,
108,LTBA,LFSB,
109,LTBA,LKPR,
110,LTBA,ELLX,
111,LTBA,LTCU,
112,LTBA,LTCT,
113,LTBA,LTCM,
114,LTBA,SBGR,
115,LTBA,LTFG,
116,LTBA,LTCS,
117,LTBA,LTDA,
118,LTBA,LEMG,
119,LTBA,LTCO,
120,LTBA,LTCP,
