,0,1,2,3,4,5,6,7,8,9
0,37422,60841.0,33718.0,,,,,,,
1,49183,33719.0,,,,,,,,
2,47440,33723.0,,,,,,,,
3,42849,55651.0,67004.0,33725.0,,,,,,
4,48664,42099.0,33731.0,38571.0,,,,,,
5,39029,67125.0,47421.0,33741.0,,,,,,
6,58004,46818.0,37724.0,33750.0,,,,,,
7,66905,33761.0,60386.0,52692.0,,,,,,
8,38355,33781.0,59595.0,,,,,,,
9,39305,33796.0,60393.0,48884.0,,,,,,
10,49177,33803.0,42566.0,37847.0,,,,,,
11,38131,47557.0,33806.0,65941.0,,,,,,
12,39610,33950.0,50586.0,,,,,,,
13,38744,57865.0,48379.0,34039.0,,,,,,
14,36674,46378.0,52523.0,62282.0,34064.0,57369.0,41404.0,,,
15,44208,34089.0,59901.0,51765.0,,,,,,
16,52353,46055.0,66152.0,40056.0,34109.0,,,,,
17,49826,40591.0,35956.0,59605.0,34270.0,,,,,
18,36224,34354.0,48118.0,,,,,,,
19,66656,36322.0,60037.0,46061.0,34381.0,51886.0,42097.0,,,
20,45516,34382.0,51982.0,59764.0,66836.0,38873.0,,,,
21,67085,56813.0,45518.0,34420.0,37403.0,,,,,
22,59588,44041.0,54825.0,48529.0,35476.0,34421.0,66687.0,,,
23,51763,66869.0,34422.0,36155.0,58750.0,,,,,
24,34442,57378.0,,,,,,,,
25,58920,34444.0,,,,,,,,
26,37408,64037.0,35468.0,34445.0,43183.0,57071.0,46998.0,50937.0,66521.0,
27,66688,34450.0,53863.0,,,,,,,
28,60256,34459.0,,,,,,,,
29,34477,56973.0,,,,,,,,
30,50600,59746.0,34491.0,37404.0,,,,,,
31,34499,54535.0,,,,,,,,
32,47908,44039.0,34506.0,53132.0,60955.0,36127.0,,,,
33,60666,34524.0,,,,,,,,
34,34528,36672.0,52962.0,47292.0,62429.0,,,,,
35,34529,59906.0,49488.0,67003.0,39166.0,,,,,
36,34530,37027.0,48110.0,58614.0,41750.0,,,,,
37,53732,34532.0,66085.0,45685.0,60665.0,37725.0,,,,
38,61314,39492.0,34536.0,47146.0,35886.0,66553.0,54525.0,,,
39,34556,54541.0,,,,,,,,
40,59904,45346.0,35587.0,34566.0,64011.0,49167.0,41399.0,37978.0,66557.0,55774.0
41,61312,54977.0,44708.0,34572.0,49618.0,40340.0,65243.0,,,
42,34600,63874.0,,,,,,,,
43,52802,62147.0,34601.0,45513.0,67181.0,36734.0,,,,
44,47564,57566.0,34638.0,37287.0,,,,,,
45,67232,61766.0,34639.0,52945.0,46814.0,36671.0,,,,
46,34669,57870.0,,,,,,,,
47,46689,59586.0,66245.0,37407.0,34670.0,51472.0,42719.0,,,
48,46817,54983.0,59048.0,34705.0,35475.0,38875.0,63070.0,,,
49,42567,38128.0,34742.0,48377.0,58909.0,,,,,
50,34801,41156.0,,,,,,,,
51,52521,44822.0,61462.0,34808.0,36218.0,,,,,
52,60036,39026.0,45810.0,34809.0,66555.0,52348.0,,,,
53,39025,34834.0,46981.0,61770.0,,,,,,
54,62411,44209.0,54705.0,34837.0,37304.0,,,,,
55,46690,36486.0,50761.0,59287.0,34867.0,40055.0,55775.0,,,
56,49617,34871.0,,,,,,,,
57,46056,34891.0,60512.0,52944.0,,,,,,
58,54820,36360.0,67274.0,45037.0,62968.0,34942.0,,,,
59,61891,47144.0,39727.0,34959.0,54679.0,66871.0,,,,
60,50594,41402.0,63085.0,34982.0,,,,,,
61,65784,62148.0,34983.0,48107.0,36689.0,41749.0,55224.0,,,
62,60513,46059.0,67083.0,34989.0,38576.0,52799.0,,,,
63,53968,64905.0,35002.0,43773.0,,,,,,
64,67314,62547.0,48376.0,39163.0,35005.0,,,,,
65,43777,51075.0,35012.0,38245.0,59750.0,66556.0,,,,
66,50585,60817.0,35021.0,42847.0,,,,,,
67,35023,,,,,,,,,
68,35048,42411.0,37583.0,59280.0,65330.0,,,,,
69,60035,37988.0,66246.0,51887.0,45041.0,35099.0,,,,
70,35104,55466.0,42259.0,62836.0,37405.0,47902.0,,,,
71,37122,50469.0,46982.0,67303.0,64559.0,66551.0,60664.0,35129.0,56382.0,
72,67013,58477.0,52689.0,49045.0,63350.0,37848.0,35130.0,42395.0,,
73,35172,46060.0,55117.0,63071.0,38130.0,58751.0,,,,
74,35173,46694.0,55118.0,42101.0,59452.0,51709.0,,,,
75,35219,42115.0,67052.0,,,,,,,
76,59585,66015.0,35247.0,52690.0,38742.0,46815.0,,,,
77,35250,52797.0,61311.0,,,,,,,
78,35265,66087.0,49484.0,53262.0,39731.0,57374.0,,,,
79,44352,35266.0,52549.0,66157.0,57107.0,63348.0,37305.0,48380.0,,
80,49825,35267.0,,,,,,,,
81,35268,48422.0,61165.0,67344.0,64657.0,39732.0,57367.0,,,
82,67000,35272.0,47272.0,51883.0,63371.0,57710.0,38712.0,,,
83,51360,41730.0,59049.0,37584.0,45809.0,65781.0,35293.0,,,
84,36673,42565.0,35309.0,67184.0,49619.0,58613.0,,,,
85,66906,48235.0,58341.0,35318.0,,,,,,
86,35338,43778.0,53260.0,62045.0,,,,,,
87,35362,36550.0,39497.0,67082.0,46251.0,54827.0,65329.0,,,
88,60514,35363.0,46054.0,66090.0,38574.0,52943.0,,,,
89,48224,35364.0,62412.0,55917.0,39024.0,66686.0,,,,
90,35365,46379.0,65677.0,62550.0,54519.0,67160.0,38876.0,,,
91,53862,35366.0,46057.0,67375.0,62678.0,,,,,
92,61313,35367.0,45514.0,40337.0,53747.0,36927.0,,,,
93,50200,35369.0,,,,,,,,
94,54017,63210.0,45684.0,35374.0,,,,,,
95,43040,66657.0,61768.0,39028.0,35387.0,47290.0,36411.0,54205.0,,
96,61767,55119.0,39957.0,66872.0,47291.0,35388.0,,,,
97,47391,39284.0,35407.0,,,,,,,
98,38129,48844.0,35414.0,60951.0,,,,,,
99,35416,39867.0,49612.0,58140.0,,,,,,
100,64269,55926.0,35418.0,52798.0,44511.0,,,,,
101,42984,35437.0,62969.0,55477.0,59289.0,51706.0,,,,
102,35457,64041.0,38577.0,48378.0,67101.0,59903.0,,,,
103,58755,39496.0,67182.0,44207.0,35474.0,51359.0,,,,
104,35498,56971.0,39730.0,64658.0,49044.0,60828.0,,,,
105,46053,39495.0,61771.0,53266.0,35510.0,,,,,
106,59905,48228.0,63749.0,44038.0,51881.0,40336.0,56082.0,35511.0,,
107,60961,35515.0,,,,,,,,
108,35544,39728.0,46816.0,,,,,,,
109,36773,35558.0,66086.0,46250.0,61168.0,53557.0,,,,
110,35560,45035.0,38579.0,62548.0,53267.0,65782.0,,,,
111,52112,46529.0,58025.0,35563.0,,,,,,
112,53129,35564.0,39282.0,60245.0,66870.0,,,,,
113,63073,39491.0,35565.0,58000.0,49046.0,67100.0,,,,
114,60034,37989.0,35566.0,64143.0,52691.0,44823.0,,,,
115,49824,43630.0,59282.0,35604.0,39959.0,,,,,
116,43041,66505.0,50468.0,35605.0,,,,,,
117,55776,64779.0,48109.0,67343.0,60241.0,40596.0,35608.0,,,
118,35609,52356.0,,,,,,,,
119,35619,67389.0,,,,,,,,
120,59587,35625.0,53744.0,48530.0,39703.0,66459.0,,,,
121,36736,65864.0,35626.0,62283.0,45517.0,53554.0,41403.0,57564.0,,
