,airline,total_flights,model1,model1_linear,model2,vns
0,RSY,14,4.107602e+05,4.107602e+05,4.107602e+05,3.966698e+05
1,CSN,14,6.922134e+05,6.922134e+05,6.922134e+05,6.608138e+05
2,KGL,16,1.087988e+05,1.087988e+05,1.128238e+05,6.307667e+04
3,HAY,17,2.031016e+05,2.031016e+05,2.161943e+05,1.679994e+05
4,AIC,18,1.057533e+06,1.057533e+06,1.086601e+06,6.436050e+05
5,KAL,18,1.798549e+06,1.798549e+06,1.798549e+06,1.566098e+06
6,WRC,20,1.750004e+05,1.750004e+05,1.750004e+05,1.654632e+05
7,ASL,112,4.031368e+05,4.031368e+05,4.190754e+05,2.511323e+05
8,AUI,116,1.362518e+06,1.362518e+06,1.381929e+06,8.229285e+05
9,DAL,133,7.873479e+06,7.873479e+06,7.891141e+06,6.802938e+06
10,UAL,137,6.776284e+06,6.776284e+06,6.828146e+06,5.803015e+06
