AircraftType,MTOW,AssignedAircraftType
LAKX,0.75,AT43
A1,7.258,AT43
A10,23.133,AT76
A124,392.0,B744
A140,21.0,AT76
A148,42.55,CRJX
A158,43.7,CRJX
A178,51.8,E190
A19N,79.0,B738
A20N,79.0,B738
A210,0.599,AT43
A211,0.75,AT43
A21N,85.139,A321
A22,1.247,AT43
A225,392.0,B744
A23,0.454,AT43
A270,4.246,AT43
A3,23.133,AT76
A306,171.7,B763
A30B,165.0,B763
A310,150.0,B763
A318,68.0,B734
A319,70.0,A319
A320,77.0,A320
A321,83.0,A321
A33,0.599,AT43
A332,230.0,A332
A333,212.0,A332
A337,227.0,A332
A338,251.0,A332
A339,230.0,A332
A342,275.0,A332
A343,276.5,A332
A345,372.0,B744
A346,365.0,B744
A358,275.0,A332
A359,275.0,A332
A35K,275.0,A332
A37,5.22,AT43
A388,560.0,B744
A3ST,153.0,B763
A4,6.577,AT43
A400,190.0,B763
A5,0.599,AT43
A50,190.0,B763
A500,2.812,AT43
A6,23.133,AT76
A660,6.5,AT43
A7,21.773,AT76
A743,43.7,CRJX
A748,20.0,AT76
A900,0.599,AT43
AA1,0.599,AT43
AA5,1.106,AT43
AC11,1.528,AT43
AC50,2.3,AT43
AC52,2.3,AT43
AC56,3.062,AT43
AC5A,1.406,AT43
AC68,3.379,AT43
AC6L,3.062,AT43
AC72,3.379,AT43
AC80,4.717,AT43
AC90,5.08,AT43
AC95,5.67,AT43
AE45,1.406,AT43
AERK,0.454,AT43
AEST,2.812,AT43
AFOX,0.599,AT43
AJ27,42.55,CRJX
AJET,7.0,AT43
ALC1,0.454,AT43
ALIG,0.95,AT43
ALSL,0.45,AT43
AMX,7.0,AT43
AN12,61.0,B734
AN2,1.157,AT43
AN22,230.0,A332
AN24,21.0,AT76
AN26,24.0,AT76
AN28,6.5,AT43
AN30,24.0,AT76
AN32,27.0,DH8D
AN38,9.5,AT43
AN70,105.0,B752
AN72,43.09,CRJX
ANGL,1.247,AT43
AP32,0.599,AT43
APM2,0.599,AT43
APM3,0.599,AT43
APM4,1.106,AT43
APUP,0.599,AT43
AR11,0.599,AT43
AR15,0.599,AT43
AR50,0.454,AT43
AR5T,0.454,AT43
AR65,0.454,AT43
AR6T,0.454,AT43
ARVA,3.969,AT43
AS02,1.406,AT43
AS14,0.54,AT43
AS22,0.54,AT43
ASTO,0.599,AT43
ASTR,11.839,AT43
AT2P,1.785,AT43
AT3,7.0,AT43
AT3P,1.28,AT43
AT3T,3.402,AT43
AT43,16.7,AT43
AT44,18.6,AT43
AT45,18.6,AT43
AT46,18.6,AT43
AT5T,3.402,AT43
AT6T,3.969,AT43
AT72,21.5,AT76
AT73,21.5,AT76
AT75,22.0,AT76
AT76,23.0,AT76
AT8T,9.5,AT43
ATL,0.454,AT43
ATLA,49.15,E190
ATP,22.93,AT76
B1,214.6,A332
B103,1.28,AT43
B13,0.77,AT43
B17,23.133,AT76
B190,7.765,AT43
B2,214.6,A332
B209,1.406,AT43
B23,11.5,AT43
B24,49.15,E190
B25,16.7,AT43
B26,13.155,AT43
B350,6.804,AT43
B36T,2.13,AT43
B37M,85.139,A321
B38M,85.139,A321
B39M,85.139,A321
B461,42.184,CRJX
B462,42.184,CRJX
B463,44.225,CRJX
B52,214.6,A332
B58T,2.812,AT43
B60,1.406,AT43
B701,115.9,B752
B703,140.0,B752
B712,52.6,E190
B720,115.9,B752
B721,115.9,B752
B722,86.4,A321
B731,47.0,E190
B732,52.3,E190
B733,62.8,B734
B734,68.0,B734
B735,60.68,B734
B736,65.0,B734
B737,70.08,B737
B738,78.3,B738
B739,85.139,A321
B741,377.8,B744
B742,356.0,B744
B743,377.8,B744
B744,396.8,B744
B748,442.25,B744
B74D,377.8,B744
B74R,377.8,B744
B74S,356.0,B744
B752,115.9,B752
B753,122.5,B752
B762,160.0,B763
B763,186.88,B763
B764,204.1,B763
B772,287.0,A332
B773,299.3,A332
B778,351.53,B744
B779,351.53,B744
B77L,347.45,B744
B77W,351.53,B744
B788,227.93,A332
B789,250.83,A332
B78X,250.83,A332
BA11,39.463,CRJX
BCS1,65.0,B734
BCS3,68.0,B734
BD17,0.45,AT43
BDOG,1.406,AT43
BE10,4.246,AT43
BE12,31.8,DH8D
BE17,1.4,AT43
BE18,1.969,AT43
BE19,1.106,AT43
BE20,5.67,AT43
BE23,1.157,AT43
BE24,1.23,AT43
BE30,6.35,AT43
BE32,9.5,AT43
BE33,1.247,AT43
BE35,1.656,AT43
BE36,1.656,AT43
BE40,7.394,AT43
BE50,2.858,AT43
BE55,2.36,AT43
BE56,5.08,AT43
BE58,2.45,AT43
BE60,3.062,AT43
BE65,3.062,AT43
BE70,3.062,AT43
BE76,1.406,AT43
BE77,0.599,AT43
BE80,3.062,AT43
BE88,3.062,AT43
BE95,1.247,AT43
BE99,4.717,AT43
BE9L,4.581,AT43
BE9T,4.246,AT43
BELF,81.54,A321
BER2,41.0,CRJX
BIRD,0.454,AT43
BL17,1.4,AT43
BL8,1.406,AT43
BLCF,351.53,B744
BMAN,0.599,AT43
BN2P,1.785,AT43
BN2T,3.969,AT43
BR60,0.599,AT43
BR61,0.599,AT43
BRAV,0.599,AT43
BT36,1.633,AT43
BTX1,5.22,AT43
BUCA,0.454,AT43
BUSH,0.454,AT43
BX2,0.599,AT43
C02T,2.13,AT43
C04T,4.246,AT43
C06T,3.402,AT43
C07T,2.13,AT43
C101,5.22,AT43
C10T,2.13,AT43
C119,20.0,AT76
C120,0.45,AT43
C123,49.15,E190
C125,9.5,AT43
C130,81.54,A321
C133,81.54,A321
C135,140.0,B752
C140,0.45,AT43
C141,150.0,B763
C14T,2.13,AT43
C15,100.0,B752
C150,0.599,AT43
C152,0.599,AT43
C160,49.15,E190
C162,0.599,AT43
C17,204.1,B763
C170,0.599,AT43
C172,1.157,AT43
C175,0.45,AT43
C177,1.157,AT43
C180,1.406,AT43
C182,1.406,AT43
C185,1.406,AT43
C188,0.599,AT43
C190,1.528,AT43
C195,1.406,AT43
C2,49.15,E190
C205,1.28,AT43
C206,1.28,AT43
C207,1.23,AT43
C208,3.969,AT43
C210,1.542,AT43
C212,7.35,AT43
C21T,2.984,AT43
C22J,2.719,AT43
C240,1.633,AT43
C25A,5.67,AT43
C25B,6.291,AT43
C25C,7.761,AT43
C25M,4.853,AT43
C270,0.454,AT43
C27J,31.8,DH8D
C295,20.0,AT76
C303,2.95,AT43
C30J,81.54,A321
C310,2.495,AT43
C320,2.717,AT43
C335,2.858,AT43
C336,1.724,AT43
C337,1.406,AT43
C340,2.717,AT43
C402,2.858,AT43
C404,2.95,AT43
C411,2.95,AT43
C414,3.062,AT43
C421,3.379,AT43
C425,5.67,AT43
C441,5.67,AT43
C46,20.0,AT76
C5,372.0,B744
C500,5.67,AT43
C501,5.67,AT43
C510,3.921,AT43
C525,4.853,AT43
C526,4.75,AT43
C550,6.396,AT43
C551,5.67,AT43
C55B,6.713,AT43
C560,7.212,AT43
C56X,9.163,AT43
C5M,372.0,B744
C650,10.432,AT43
C680,13.744,AT43
C68A,13.744,AT43
C700,17.2,AT43
C72R,1.28,AT43
C750,16.193,AT43
C77R,1.106,AT43
C82,20.0,AT76
C82R,1.4,AT43
C82S,1.406,AT43
C82T,1.406,AT43
C97,23.133,AT76
CA25,1.406,AT43
CA41,0.95,AT43
CAT,1.28,AT43
CC19,1.157,AT43
CD2,6.6,AT43
CE22,0.454,AT43
CE25,0.599,AT43
CE43,1.542,AT43
CH10,0.599,AT43
CH20,0.599,AT43
CH25,0.599,AT43
CH2T,0.599,AT43
CH30,0.599,AT43
CH40,1.157,AT43
CH50,0.454,AT43
CH60,0.45,AT43
CH7A,0.599,AT43
CH7B,0.45,AT43
CHIN,0.45,AT43
CJ6,1.4,AT43
CL2P,20.0,AT76
CL2T,12.29,AT43
CL30,17.622,AT43
CL35,17.962,AT43
CL41,5.22,AT43
CL44,81.54,A321
CL60,20.23,AT76
CN12,0.454,AT43
CN35,16.7,AT43
CNBR,22.226,AT76
CO50,1.528,AT43
COAR,0.599,AT43
COL3,1.542,AT43
COL4,1.633,AT43
CONI,49.15,E190
CORV,1.785,AT43
COUG,0.599,AT43
COUR,1.406,AT43
COZY,1.4,AT43
CP10,1.247,AT43
CP20,0.95,AT43
CP21,0.599,AT43
CP22,0.95,AT43
CP23,0.95,AT43
CR10,1.315,AT43
CRES,3.402,AT43
CRJ1,24.0,AT76
CRJ2,23.13,AT76
CRJ7,38.0,CRJX
CRJ9,38.0,CRJX
CRJX,38.0,CRJX
